60-0|pressure
60-1|presence
60-2|papilledema
60-3|intracranial pressure
60-4|pressure a
60-5|the presence
60-6|presence of
60-7|of papilledema
60-8|increase intracranial pressure
60-9|intracranial pressure a
60-10|pressure a express
60-11|by the presence
60-12|the presence of
60-13|presence of papilledema
61-0|cardiac
61-1|pacemaker
61-2|no cardiac
61-3|cardiac pacemaker
61-4|no cardiac pacemaker
62-0|must
62-1|medication
62-2|must not
62-3|antidepressant medication
62-4|must not be
62-5|or antidepressant medication
63-0|neurologic
63-1|disease
63-2|progressive neurologic
63-3|neurologic disease
63-4|no progressive neurologic
63-5|progressive neurologic disease
64-0|neuralgia
64-1|bone
64-2|soft
64-3|tissue
64-4|mucosal
64-5|lesion
64-6|facial neuralgia
64-7|neuralgia not
64-8|by bone
64-9|bone soft
64-10|soft tissue
64-11|tissue or
64-12|or mucosal
64-13|mucosal lesion
64-14|facial neuralgia not
64-15|neuralgia not explain
64-16|explain by bone
64-17|by bone soft
64-18|bone soft tissue
64-19|soft tissue or
64-20|tissue or mucosal
64-21|or mucosal lesion
65-0|pain
65-1|paroxysm
65-2|pain
65-3|month
65-4|moderate pain
65-5|pain or
65-6|daily paroxysm
65-7|paroxysm of
65-8|of pain
65-9|pain unremitting
65-10|3 month
65-11|daily moderate pain
65-12|moderate pain or
65-13|pain or daily
65-14|or daily paroxysm
65-15|daily paroxysm of
65-16|paroxysm of pain
65-17|of pain unremitting
65-18|pain unremitting for
65-19|least 3 month
66-0|trial
66-1|medication
66-2|previous trial
66-3|trial of
66-4|antineuralgic medication
66-5|previous trial of
66-6|trial of an
66-7|an antineuralgic medication
67-0|patient
67-1|study
67-2|medication
67-3|stable
67-4|regimen
67-5|study
67-6|period
67-7|week
67-8|pain
67-9|diary
67-10|patient enter
67-11|the study
67-12|study on
67-13|analgesic medication
67-14|medication must
67-15|a stable
67-16|stable regimen
67-17|regimen throughout
67-18|the study
67-19|study period
67-20|period or
67-21|2 week
67-22|week prior
67-23|initial pain
67-24|pain diary
67-25|patient enter the
67-26|enter the study
67-27|the study on
67-28|study on other
67-29|other analgesic medication
67-30|analgesic medication must
67-31|medication must either
67-32|a a stable
67-33|a stable regimen
67-34|stable regimen throughout
67-35|regimen throughout the
67-36|throughout the study
67-37|the study period
67-38|study period or
67-39|period or discontinue
67-40|them 2 week
67-41|2 week prior
67-42|week prior to
67-43|the initial pain
67-44|initial pain diary
68-0|adult
68-1|adult age
68-2|adult age 18
69-0|serum
69-1|laboratory
69-2|result
69-3|study
69-4|entry
69-5|serum laboratory
69-6|laboratory result
69-7|result obtain
69-8|at study
69-9|study entry
69-10|serum laboratory result
69-11|laboratory result obtain
69-12|result obtain at
69-13|obtain at study
69-14|at study entry
70-0|function
70-1|test
70-2|le
70-3|time
70-4|limit
70-5|liver function
70-6|function test
70-7|test alt/ast
70-8|alt/ast le
70-9|le than
